order_id,customer_id,order_date,status
1,542,2025-10-12,Pending
2,920,2024-11-16,Delivered
3,168,2026-01-18,Pending
4,202,2026-05-01,Returned
5,738,2024-08-10,Delivered
6,721,2025-03-10,Delivered
7,710,2025-04-13,Delivered
8,945,2025-04-18,Pending
9,555,2026-01-11,Pending
10,525,2024-12-28,Delivered
11,696,2026-06-09,Pending
12,709,2025-07-14,Delivered
13,529,2025-01-15,Cancelled
14,169,2025-12-11,Pending
15,589,2026-03-08,Cancelled
16,198,2025-04-21,Delivered
17,344,2025-12-06,Delivered
18,124,2024-08-01,Returned
19,539,2025-12-18,Pending
20,64,2025-06-03,Delivered
21,975,2026-02-12,Returned
22,748,2026-04-04,Cancelled
23,318,2024-12-10,Delivered
24,955,2025-10-22,Delivered
25,925,2025-07-08,Cancelled
26,364,2025-02-04,Delivered
27,629,2026-02-05,Returned
28,856,2026-07-09,Pending
29,491,2025-01-25,Cancelled
30,221,2025-10-09,Pending
31,8,2035-01-01,Pending
32,107,2025-09-01,Cancelled
33,889,2025-12-17,Pending
34,507,2025-10-15,Pending
35,761,2026-06-12,Delivered
36,753,2025-04-25,Delivered
37,192,2025-04-26,Returned
38,624,2026-07-08,Pending
39,455,2024-12-07,Returned
40,630,2025-06-23,Pending
41,992,2024-09-05,Cancelled
42,987,2025-01-13,Pending
43,596,2025-08-04,Returned
44,142,2025-03-27,Cancelled
45,756,2025-11-18,Delivered
46,254,2025-02-24,Returned
47,348,2024-08-07,Cancelled
48,319,2025-07-01,Pending
49,820,2025-04-09,Delivered
50,739,2025-11-11,Pending
51,698,2026-06-10,Pending
52,860,2025-08-14,Pending
53,334,2026-05-18,Pending
54,688,2026-05-28,Cancelled
55,206,2025-03-08,Returned
56,944,2025-09-24,Delivered
57,933,2025-07-11,Delivered
58,125,2025-05-12,Delivered
59,129,2025-08-11,Cancelled
60,12,2025-04-14,Cancelled
61,316,2025-11-23,Returned
62,701,2026-05-14,Pending
63,488,2024-11-18,Returned
64,379,2026-04-14,Returned
65,290,2026-07-09,Pending
66,932,2024-08-21,Delivered
67,895,2025-05-23,Delivered
68,411,2025-11-04,Cancelled
69,678,2026-04-29,Cancelled
70,801,2025-05-02,Returned
71,828,2026-03-22,Delivered
72,71,2024-09-20,Cancelled
73,841,2025-09-11,Pending
74,136,2026-03-10,Pending
75,464,2025-02-24,Cancelled
76,33,2025-12-23,Returned
77,308,2024-10-13,Pending
78,872,2025-02-19,Returned
79,993,2025-01-01,Delivered
80,274,2025-12-13,Returned
81,934,2024-07-27,Pending
82,281,2024-11-20,Pending
83,99,2025-06-19,Delivered
84,212,2024-10-03,Returned
85,449,2025-05-28,Pending
86,872,2024-08-05,Pending
87,160,2025-10-20,Pending
88,690,2025-08-21,Pending
89,539,2025-10-14,Returned
90,305,2024-11-13,Pending
91,401,2025-05-23,Pending
92,387,2025-09-28,Pending
93,473,2025-12-24,Pending
94,903,2025-08-27,Returned
95,475,2025-11-18,Cancelled
96,502,2025-07-17,Pending
97,382,2024-07-17,Delivered
98,795,2026-06-16,Pending
99,141,2025-10-18,Returned
100,252,2026-05-24,Pending
101,620,2025-09-22,Returned
102,832,2024-10-19,Cancelled
103,720,2026-01-02,Delivered
104,891,2025-12-24,Returned
105,966,2025-11-14,Cancelled
106,645,2025-09-14,Cancelled
107,660,2025-06-17,Cancelled
108,49,2024-08-02,Delivered
109,719,2026-02-17,Pending
110,369,2025-06-16,Delivered
111,329,2025-10-25,Cancelled
112,268,2026-06-04,Cancelled
113,720,2025-05-16,Delivered
114,420,2024-08-14,Pending
115,644,2024-12-01,Delivered
116,739,2025-12-30,Returned
117,893,2025-05-18,Cancelled
118,221,2026-03-17,Delivered
119,620,2026-05-15,Cancelled
120,605,2025-03-31,Returned
121,246,2025-12-21,Returned
122,640,2026-04-14,Cancelled
123,792,2025-12-08,Delivered
124,103,2026-06-15,Returned
125,379,2025-02-17,Delivered
126,608,2024-09-18,Cancelled
127,885,2025-10-06,Pending
128,656,2025-04-20,Cancelled
129,16,2025-07-24,Pending
130,468,2025-07-18,Delivered
131,934,2026-03-03,Pending
132,929,2025-10-12,Delivered
133,368,2026-04-17,Cancelled
134,162,2024-12-07,Returned
135,993,2025-12-31,Cancelled
136,562,2025-07-23,Returned
137,616,2026-02-13,Cancelled
138,516,2026-01-31,Returned
139,143,2025-07-29,Pending
140,256,2025-08-05,Cancelled
141,830,2025-12-13,Returned
142,12,2026-03-30,Returned
143,741,2025-12-25,Pending
144,614,2025-05-17,Cancelled
145,553,2025-02-08,Delivered
146,673,2026-01-28,Cancelled
147,991,2025-01-30,Cancelled
148,723,2026-01-20,Returned
149,604,2024-12-14,Pending
150,956,2026-03-24,Cancelled
151,674,2024-07-29,Delivered
152,953,2024-12-19,Returned
153,46,2025-01-01,Pending
154,518,2025-09-24,Pending
155,587,2025-01-13,Cancelled
156,522,2026-04-24,Delivered
157,314,2025-07-11,Pending
158,680,2024-12-29,Returned
159,750,2025-08-04,Pending
160,968,2025-01-24,Returned
161,225,2024-08-28,Delivered
162,506,2026-01-31,Returned
163,735,2025-11-28,Delivered
164,909,2026-05-20,Cancelled
165,187,2025-03-03,Returned
166,512,2025-08-15,Returned
167,966,2025-06-08,Returned
168,69,2025-01-02,Pending
169,737,2025-03-02,Pending
170,981,2024-12-28,Pending
171,490,2025-04-08,Returned
172,551,2026-03-31,Returned
173,620,2025-05-26,Pending
174,863,2025-01-27,Returned
175,359,2026-04-03,Cancelled
176,940,2026-01-29,Delivered
177,896,2024-12-17,Delivered
178,582,2024-12-11,Cancelled
179,462,2026-05-29,Delivered
180,193,2024-11-30,Pending
181,150,2026-01-02,Cancelled
182,325,2026-01-09,Delivered
183,915,2025-09-11,Returned
184,802,2025-07-07,Pending
185,93,2026-05-18,Delivered
186,721,2026-05-28,Returned
187,578,2026-04-12,Returned
188,375,2024-10-18,Delivered
189,313,2025-11-04,Delivered
190,481,2025-10-25,Cancelled
191,109,2024-12-27,Cancelled
192,977,2024-11-06,Returned
193,413,2025-01-11,Cancelled
194,789,2025-01-09,Cancelled
195,497,2026-05-26,Cancelled
196,845,2024-11-02,Pending
197,87,2024-08-28,Delivered
198,874,2026-01-09,Pending
199,324,2025-07-30,Returned
200,81,2026-03-25,Pending
201,300,2024-11-12,Cancelled
202,942,2024-12-04,Returned
203,741,2024-07-28,Pending
204,640,2025-04-09,Delivered
205,328,2025-03-11,Delivered
206,192,2026-05-18,Pending
207,610,2025-11-05,Delivered
208,70,2024-12-14,Returned
209,298,2025-02-25,Delivered
210,166,2025-03-06,Pending
211,696,2024-12-31,Cancelled
212,672,2025-10-08,Cancelled
213,599,2026-04-23,Delivered
214,530,2026-01-10,Cancelled
215,402,2025-05-26,Delivered
216,28,2025-11-17,Cancelled
217,324,2025-09-28,Cancelled
218,127,2025-03-31,Delivered
219,52,2026-05-10,Delivered
220,149,2024-12-18,Delivered
221,366,2024-10-19,Returned
222,124,2026-02-12,Pending
223,282,2026-04-12,Delivered
224,300,2024-11-22,Returned
225,249,2024-08-07,Delivered
226,127,2024-08-03,Returned
227,718,2025-03-23,Returned
228,843,2024-12-22,Returned
229,439,2025-06-03,Cancelled
230,679,2026-07-10,Delivered
231,733,2025-04-04,Delivered
232,47,2024-07-27,Cancelled
233,681,2026-04-14,Pending
234,171,2026-03-23,Cancelled
235,252,2025-08-11,Cancelled
236,392,2025-03-15,Delivered
237,178,2026-06-13,Delivered
238,979,2024-09-19,Cancelled
239,447,2025-03-02,Cancelled
240,210,2026-06-23,Delivered
241,392,2026-06-15,Pending
242,725,2026-03-18,Returned
243,523,2024-10-28,Pending
244,674,2026-03-28,Returned
245,649,2025-03-08,Pending
246,160,2026-07-09,Returned
247,276,2024-10-31,Delivered
248,378,2025-12-26,Cancelled
249,785,2025-12-05,Delivered
250,394,2024-09-10,Delivered
251,74,2025-09-20,Delivered
252,605,2025-12-22,Pending
253,45,2026-05-06,Cancelled
254,35,2026-05-31,Delivered
255,781,2025-09-21,Cancelled
256,390,2025-08-23,Returned
257,891,2025-02-24,Delivered
258,196,2025-06-18,Returned
259,253,2026-05-28,Delivered
260,192,2024-10-18,Pending
261,209,2024-08-21,Returned
262,535,2025-06-24,Delivered
263,616,2025-09-10,Cancelled
264,618,2025-02-09,Pending
265,337,2024-07-19,Returned
266,606,2026-06-10,Delivered
267,12,2026-06-20,Delivered
268,289,2026-04-06,Delivered
269,556,2025-05-09,Pending
270,227,2025-03-14,Pending
271,433,2024-08-16,Delivered
272,861,2024-08-10,Returned
273,512,2026-06-17,Cancelled
274,312,2025-11-05,Delivered
275,755,2026-04-18,Delivered
276,870,2025-11-26,Cancelled
277,381,2026-02-16,Returned
278,587,2025-08-15,Pending
279,723,2024-08-19,Returned
280,576,2024-09-05,Returned
281,937,2024-07-18,Delivered
282,874,2024-09-20,Pending
283,726,2025-09-28,Cancelled
284,131,2025-09-23,Pending
285,516,2024-12-29,Returned
286,735,2025-11-20,Pending
287,779,2025-08-15,Cancelled
288,679,2026-05-05,Returned
289,863,2024-09-02,Pending
290,522,2025-03-27,Pending
291,372,2025-06-29,Delivered
292,807,2024-12-09,Delivered
293,198,2026-01-28,Pending
294,902,2025-09-04,Delivered
295,714,2025-02-10,Returned
296,567,2025-04-18,Returned
297,732,2025-03-01,Pending
298,783,2026-03-24,Delivered
299,862,2024-08-23,Returned
300,506,2025-09-14,Delivered
301,977,2025-03-13,Cancelled
302,853,2025-12-28,Delivered
303,661,2025-08-07,Returned
304,697,2024-11-20,Returned
305,392,2026-01-31,Cancelled
306,515,2025-03-01,Pending
307,450,2026-07-03,Returned
308,382,2024-12-31,Delivered
309,755,2025-10-25,Pending
310,309,2025-09-20,Pending
311,110,2026-02-05,Returned
312,989,2025-01-09,Cancelled
313,542,2026-02-05,Pending
314,128,2025-03-01,Cancelled
315,599,2026-03-15,Delivered
316,764,2026-02-25,Returned
317,731,2025-11-11,Pending
318,796,2025-04-19,Cancelled
319,557,2025-12-22,Cancelled
320,372,2025-08-05,Delivered
321,509,2024-09-17,Returned
322,736,2025-02-20,Cancelled
323,537,2025-07-13,Cancelled
324,597,2025-04-13,Returned
325,427,2024-12-28,Pending
326,148,2025-09-29,Delivered
327,908,2026-02-11,Delivered
328,832,2025-05-10,Returned
329,744,2025-09-21,Cancelled
330,278,2025-04-25,Delivered
331,491,2025-03-17,Returned
332,615,2024-08-17,Returned
333,526,2026-04-09,Cancelled
334,955,2024-09-08,Delivered
335,663,2025-12-08,Delivered
336,993,2024-08-20,Cancelled
337,790,2026-06-21,Returned
338,719,2024-07-20,Returned
339,299,2025-10-04,Returned
340,569,2024-07-22,Returned
341,746,2026-01-25,Returned
342,832,2024-11-12,Pending
343,141,2026-02-08,Returned
344,191,2025-06-27,Pending
345,249,2026-01-05,Delivered
346,357,2024-11-06,Delivered
347,412,2024-10-11,Delivered
348,193,2026-01-09,Pending
349,420,2025-08-12,Returned
350,352,2025-12-07,Delivered
351,410,2025-11-25,Pending
352,438,2025-05-27,Delivered
353,753,2026-03-15,Cancelled
354,266,2024-08-01,Returned
355,139,2024-09-09,Pending
356,279,2026-03-28,Cancelled
357,519,2026-02-20,Cancelled
358,385,2025-12-30,Pending
359,712,2025-03-05,Cancelled
360,935,2026-01-01,Delivered
361,784,2024-07-16,Delivered
362,379,2025-01-30,Pending
363,550,2025-01-12,Pending
364,507,2025-02-23,Returned
365,97,2025-04-28,Pending
366,705,2025-02-10,Returned
367,444,2025-01-28,Returned
368,553,2025-12-11,Delivered
369,777,2024-08-27,Returned
370,507,2025-04-15,Returned
371,113,2026-01-02,Cancelled
372,550,2025-07-13,Pending
373,449,2024-10-27,Pending
374,16,2025-08-18,Returned
375,509,2025-01-12,Pending
376,280,2026-05-26,Pending
377,75,2024-10-23,Returned
378,674,2024-10-22,Delivered
379,813,2025-12-24,Returned
380,496,2025-06-24,Cancelled
381,924,2026-03-05,Cancelled
382,899,2026-01-15,Returned
383,116,2025-04-11,Pending
384,38,2025-12-20,Delivered
385,528,2025-11-06,Pending
386,879,2026-03-03,Delivered
387,666,2024-07-25,Returned
388,219,2024-10-09,Cancelled
389,616,2026-03-22,Pending
390,367,2025-10-19,Pending
391,331,2025-02-09,Pending
392,408,2024-11-01,Delivered
393,713,2025-02-08,Cancelled
394,303,2026-02-10,Returned
395,526,2025-10-18,Returned
396,800,2025-10-16,Delivered
397,867,2024-07-15,Cancelled
398,119,2024-12-26,Cancelled
399,169,2025-08-22,Returned
400,526,2026-02-04,Cancelled
401,717,2024-10-06,Returned
402,690,2024-09-24,Pending
403,993,2024-11-11,Delivered
404,105,2025-01-13,Pending
405,906,2025-06-18,Returned
406,593,2024-12-19,Delivered
407,21,2026-04-19,Cancelled
408,781,2025-04-05,Cancelled
409,184,2024-07-19,Pending
410,765,2025-11-09,Returned
411,685,2025-06-07,Cancelled
412,676,2025-12-27,Returned
413,394,2025-04-10,Cancelled
414,925,2026-04-10,Returned
415,966,2025-05-31,Delivered
416,682,2026-01-29,Delivered
417,543,2026-03-14,Pending
418,317,2026-03-14,Pending
419,950,2024-12-08,Pending
420,384,2025-09-08,Cancelled
421,152,2026-05-09,Pending
422,595,2025-02-10,Delivered
423,648,2024-12-31,Delivered
424,777,2026-07-07,Delivered
425,162,2026-05-24,Delivered
426,796,2025-09-06,Pending
427,792,2025-04-19,Cancelled
428,483,2025-09-11,Delivered
429,240,2025-03-23,Pending
430,893,2025-05-27,Returned
431,98,2025-09-03,Pending
432,225,2025-09-07,Delivered
433,510,2026-03-24,Delivered
434,54,2025-10-31,Cancelled
435,221,2024-09-14,Pending
436,25,2026-06-08,Delivered
437,699,2025-08-23,Delivered
438,567,2026-03-31,Returned
439,87,2024-12-06,Pending
440,233,2025-05-02,Delivered
441,277,2025-08-08,Pending
442,377,2025-09-06,Returned
443,366,2025-02-07,Delivered
444,355,2025-04-08,Delivered
445,843,2024-10-22,Returned
446,832,2025-05-30,Delivered
447,497,2024-12-19,Delivered
448,183,2024-12-27,Returned
449,605,2025-08-20,Pending
450,672,2026-07-01,Cancelled
451,92,2026-02-15,Cancelled
452,343,2024-07-27,Cancelled
453,265,2026-05-08,Delivered
