order_item_id,order_id,product_id,quantity,price
1,323,P008,2,1200.0
2,4743,P003,5,700.0
3,3081,P008,3,1200.0
4,4569,P005,2,55000.0
5,3179,P006,1,1200.0
6,2316,P006,1,3000.0
7,3171,P005,4,3000.0
8,1824,P009,1,700.0
9,3764,P004,2,800.0
10,2716,P006,1,1500.0
11,852,P001,1,3000.0
12,139,P008,4,2000.0
13,2254,P010,2,1500.0
14,223,P001,4,55000.0
15,4404,P002,2,1500.0
16,890,P009,5,500.0
17,3188,P003,2,5000.0
18,106,P004,1,700.0
19,630,P006,5,1200.0
20,3234,P001,3,2000.0
21,63,P006,-3,800.0
22,2503,P008,4,700.0
23,412,P007,3,25000.0
24,1559,P002,3,25000.0
25,4595,P010,2,500.0
26,1379,P006,2,
27,4488,P008,3,5000.0
28,4886,P007,1,55000.0
29,44,P003,3,3000.0
30,1880,P008,3,3000.0
31,918,P010,1,1500.0
32,2494,P001,3,700.0
33,2233,P005,3,800.0
34,2756,P010,2,800.0
35,3319,P009,5,3000.0
36,1855,P004,3,55000.0
37,1104,P001,4,700.0
38,3668,P010,4,1500.0
39,3721,P010,1,2000.0
40,2385,P009,1,500.0
41,674,P001,2,700.0
42,4738,P010,2,3000.0
43,4134,P010,5,55000.0
44,2597,P002,1,25000.0
45,41,P007,3,500.0
46,9,P009,2,2000.0
47,4156,P008,1,55000.0
48,1706,P007,2,3000.0
49,545,P005,4,55000.0
50,3012,P009,2,1200.0
51,3728,P004,1,2000.0
52,4575,P010,3,1500.0
53,2456,P008,1,55000.0
54,1412,P010,1,25000.0
55,3728,P001,1,1500.0
56,4841,P005,2,25000.0
57,733,P005,1,500.0
58,577,P001,5,3000.0
59,870,P001,3,2000.0
60,3219,P002,1,1200.0
61,2761,P002,2,25000.0
62,3431,P005,4,2000.0
63,1469,P002,5,2000.0
64,2462,P002,4,700.0
65,846,P003,2,800.0
66,4133,P010,4,800.0
67,4786,P001,5,800.0
68,1980,P005,2,800.0
69,4035,P006,5,25000.0
70,3025,P005,5,5000.0
71,4112,P002,3,1500.0
72,4308,P003,2,55000.0
73,4636,P007,5,2000.0
74,1664,P005,1,5000.0
75,1728,P002,1,500.0
76,2836,P002,1,500.0
77,981,P008,1,55000.0
78,1646,P004,1,1200.0
79,1097,P010,2,3000.0
80,846,P005,5,1200.0
81,3334,P008,4,25000.0
82,3219,P004,2,55000.0
83,1487,P010,1,800.0
84,287,P009,1,500.0
85,4827,P002,1,1200.0
86,1616,P002,4,3000.0
87,1544,P004,3,800.0
88,855,P006,1,2000.0
89,3129,P002,1,5000.0
90,4126,P002,4,700.0
91,1873,P006,3,5000.0
92,790,P002,3,800.0
93,2975,P008,2,3000.0
94,4191,P007,1,1500.0
95,2810,P004,2,25000.0
96,4523,P004,4,800.0
97,2306,P010,3,800.0
98,1183,P002,5,25000.0
99,108,P005,1,500.0
100,4068,P002,3,1500.0
101,4782,P008,5,1200.0
102,1020,P007,3,1500.0
103,4275,P002,2,25000.0
104,4785,P008,1,3000.0
105,4262,P002,1,25000.0
106,1569,P006,4,3000.0
107,1496,P002,3,5000.0
108,3277,P009,2,3000.0
109,1063,P008,1,800.0
110,4424,P001,5,500.0
111,592,P009,3,1500.0
112,3008,P009,3,2000.0
113,4284,P008,2,55000.0
114,3614,P006,3,5000.0
115,3163,P005,3,2000.0
116,4590,P008,4,55000.0
117,2749,P002,3,1200.0
118,792,P003,3,5000.0
119,876,P005,2,500.0
120,3994,P009,2,3000.0
121,506,P004,5,800.0
122,3401,P004,4,5000.0
123,42,P008,2,500.0
124,2609,P008,2,55000.0
125,92,P007,1,55000.0
126,1015,P003,1,3000.0
127,1335,P008,2,2000.0
128,2476,P001,5,25000.0
129,3697,P002,1,700.0
130,3064,P001,5,700.0
131,2674,P010,5,1500.0
132,2290,P008,1,500.0
133,4388,P007,2,5000.0
134,166,P001,1,1500.0
135,1320,P005,4,1200.0
136,833,P002,3,3000.0
137,2841,P001,2,55000.0
138,3828,P006,1,55000.0
139,1188,P006,1,800.0
140,3497,P006,5,500.0
141,1420,P010,5,55000.0
142,1163,P008,4,1500.0
143,1868,P004,3,2000.0
144,4269,P004,2,2000.0
145,568,P002,5,2000.0
146,3994,P007,1,700.0
147,535,P001,2,5000.0
148,2905,P001,4,500.0
149,3044,P007,2,1500.0
150,677,P009,2,1200.0
151,34,P010,4,700.0
152,4317,P007,5,2000.0
153,2572,P004,2,25000.0
154,4200,P001,3,3000.0
155,1664,P009,3,5000.0
156,478,P008,3,1200.0
157,1945,P008,1,800.0
158,3920,P008,3,1500.0
159,4105,P008,1,800.0
160,2037,P003,5,500.0
161,1745,P002,2,500.0
162,1988,P007,2,800.0
163,3300,P002,2,55000.0
164,3774,P005,5,700.0
165,1311,P004,1,800.0
166,4612,P004,5,500.0
167,926,P001,2,2000.0
168,3143,P010,3,700.0
169,3944,P008,2,700.0
170,1179,P002,3,25000.0
171,4834,P006,3,500.0
172,1226,P009,3,3000.0
173,361,P005,2,1200.0
174,276,P002,3,55000.0
175,3974,P004,5,1500.0
176,1881,P004,3,500.0
177,3202,P009,1,5000.0
178,4954,P004,5,500.0
179,1442,P007,1,25000.0
180,1581,P003,2,25000.0
181,966,P006,5,2000.0
182,1736,P002,3,5000.0
183,4405,P008,5,800.0
184,4551,P005,2,800.0
185,370,P002,1,55000.0
186,1808,P006,3,25000.0
187,2625,P007,4,500.0
188,3825,P009,2,25000.0
189,2849,P004,3,500.0
190,3595,P010,4,800.0
191,2737,P009,2,3000.0
192,1420,P006,2,800.0
193,3095,P008,2,1500.0
194,222,P009,4,3000.0
195,15,P006,3,25000.0
196,1099,P007,5,5000.0
197,4767,P005,2,800.0
198,3538,P005,4,2000.0
199,3005,P004,4,55000.0
200,1201,P001,4,1200.0
201,3353,P002,1,3000.0
202,980,P002,5,55000.0
203,4525,P002,2,1500.0
204,3150,P007,4,5000.0
205,785,P008,1,25000.0
206,4812,P009,4,1500.0
207,21,P001,3,500.0
208,3687,P004,5,2000.0
209,3554,P005,4,800.0
210,2369,P008,5,500.0
211,2168,P006,4,55000.0
212,2778,P003,4,3000.0
213,695,P003,2,1200.0
214,4156,P010,4,500.0
215,3995,P001,2,1500.0
216,4598,P007,1,700.0
217,783,P004,4,2000.0
218,2694,P005,5,5000.0
219,3270,P010,1,1200.0
220,869,P006,1,25000.0
221,3937,P003,1,1500.0
222,4744,P009,4,55000.0
223,3215,P005,5,800.0
224,1252,P002,4,2000.0
225,4083,P007,1,700.0
226,3567,P006,3,500.0
227,201,P007,4,500.0
228,3523,P004,1,700.0
229,770,P002,2,25000.0
230,1662,P005,1,1500.0
231,3423,P007,2,2000.0
232,142,P006,1,700.0
233,90,P003,5,55000.0
234,4630,P008,4,25000.0
235,4475,P005,3,1500.0
236,331,P009,1,55000.0
237,4945,P008,4,800.0
238,3646,P006,1,700.0
239,4600,P010,1,1200.0
240,2249,P007,1,55000.0
241,2816,P005,2,25000.0
242,578,P001,5,1500.0
243,2685,P002,3,800.0
244,4415,P002,3,3000.0
245,4854,P003,5,55000.0
246,408,P009,4,2000.0
247,3470,P002,4,1500.0
248,3239,P004,3,3000.0
249,1254,P010,1,1500.0
250,1107,P006,1,700.0
251,779,P007,4,25000.0
252,3194,P009,5,500.0
253,1548,P007,1,2000.0
254,2861,P001,2,2000.0
255,835,P005,1,5000.0
256,3254,P003,5,700.0
257,3009,P008,1,25000.0
258,1438,P008,1,25000.0
259,2137,P003,1,1200.0
260,319,P010,3,5000.0
261,4402,P004,5,25000.0
262,213,P003,2,700.0
263,12,P002,2,800.0
264,4961,P009,2,1200.0
265,4301,P005,3,25000.0
266,4901,P002,1,5000.0
267,4617,P010,3,1500.0
268,2783,P006,4,2000.0
269,1271,P007,1,2000.0
270,2226,P006,4,1200.0
271,243,P005,4,25000.0
272,3114,P003,2,5000.0
273,1772,P008,1,25000.0
274,3026,P006,2,55000.0
275,4784,P003,1,25000.0
276,2806,P003,3,1200.0
277,789,P007,1,500.0
278,2798,P009,4,800.0
279,2015,P001,5,800.0
280,3512,P006,2,500.0
281,3301,P007,4,700.0
282,1667,P009,1,3000.0
283,309,P010,3,5000.0
284,4255,P007,3,1500.0
285,25,P008,2,800.0
286,866,P002,5,800.0
287,3100,P008,5,25000.0
288,1482,P004,5,700.0
289,4432,P004,1,2000.0
290,1537,P007,3,700.0
291,4715,P003,2,25000.0
292,4650,P003,2,25000.0
293,2552,P003,5,700.0
294,505,P010,4,55000.0
295,1380,P010,1,5000.0
296,3181,P001,3,55000.0
297,1965,P003,4,1200.0
298,2926,P002,4,2000.0
299,3213,P008,2,500.0
300,4995,P010,1,3000.0
301,1342,P001,1,800.0
302,1947,P010,1,1500.0
303,3345,P002,2,800.0
304,1001,P009,1,500.0
305,3551,P008,3,500.0
306,4275,P010,1,5000.0
307,292,P002,5,5000.0
308,1040,P006,5,800.0
309,3840,P004,5,5000.0
