order_id,customer_id,order_date,status
1,977,2025-10-01,Returned
2,332,2025-12-25,Cancelled
3,389,2025-10-17,Returned
4,142,2026-05-09,Pending
5,749,2025-12-10,Returned
6,306,2026-06-28,Delivered
7,49,2025-04-09,Pending
8,952,2025-02-11,Delivered
9,994,2024-07-21,Delivered
10,179,2026-01-12,Delivered
11,645,2026-03-13,Returned
12,378,2025-07-26,Cancelled
13,867,2025-07-11,Delivered
14,503,2025-04-16,Pending
15,376,2025-08-22,Returned
16,447,2024-10-24,Returned
17,884,2026-07-05,Pending
18,715,2025-03-29,Delivered
19,560,2026-07-02,Delivered
20,780,2025-11-09,Delivered
21,971,2025-09-27,Delivered
22,718,2026-04-04,Returned
23,406,2025-06-30,Cancelled
24,729,2025-05-30,Pending
25,918,2025-12-28,Cancelled
26,574,2024-07-26,Returned
27,289,2026-04-21,Returned
28,989,2024-10-03,Cancelled
29,537,2025-01-03,Returned
30,214,2025-10-28,Pending
31,851,2035-01-01,Delivered
32,235,2025-07-25,Delivered
33,71,2025-04-26,Pending
34,180,2025-09-17,Returned
35,734,2025-03-16,Delivered
36,415,2025-11-10,Returned
37,337,2025-07-31,Cancelled
38,966,2026-01-05,Delivered
39,328,2024-11-10,Cancelled
40,355,2025-12-11,Pending
41,757,2025-05-29,Returned
42,550,2026-06-14,Returned
43,92,2026-05-15,Delivered
44,791,2024-12-18,Pending
45,24,2024-09-07,Pending
46,999,2025-08-28,Cancelled
47,865,2024-11-22,Delivered
48,181,2025-09-13,Pending
49,987,2024-09-05,Returned
50,585,2024-08-08,Cancelled
51,720,2025-05-16,Delivered
52,313,2026-05-15,Cancelled
53,111,2024-12-08,Returned
54,568,2025-10-23,Delivered
55,261,2024-12-31,Pending
56,728,2025-04-15,Returned
57,482,2026-02-03,Pending
58,287,2026-03-11,Returned
59,478,2025-04-14,Cancelled
60,955,2025-02-21,Delivered
61,51,2025-08-11,Cancelled
62,919,2025-04-17,Returned
63,979,2026-01-27,Pending
64,818,2026-03-13,Cancelled
65,283,2024-11-24,Cancelled
66,335,2026-04-30,Returned
67,820,2024-12-02,Returned
68,713,2025-01-01,Delivered
69,979,2026-02-19,Pending
70,505,2024-09-09,Returned
71,169,2025-07-14,Pending
72,152,2025-12-02,Pending
73,117,2024-12-10,Returned
74,883,2026-05-24,Pending
75,166,2024-08-15,Cancelled
76,109,2024-09-02,Returned
77,265,2024-10-10,Pending
78,279,2025-03-19,Pending
79,146,2024-07-18,Pending
80,809,2026-02-19,Pending
81,316,2026-07-05,Cancelled
82,802,2024-08-03,Pending
83,417,2025-04-29,Cancelled
84,828,2025-08-09,Delivered
85,625,2025-05-08,Returned
86,959,2024-11-30,Cancelled
87,883,2025-02-06,Cancelled
88,863,2025-05-03,Returned
89,114,2026-04-10,Returned
90,820,2026-04-23,Pending
91,630,2025-04-17,Pending
92,741,2024-07-19,Delivered
93,267,2024-08-18,Pending
94,500,2026-01-11,Pending
95,198,2025-04-20,Returned
96,452,2025-11-10,Pending
97,563,2025-12-26,Pending
98,301,2025-07-24,Pending
99,386,2025-12-21,Returned
100,291,2024-08-19,Returned
101,59,2025-10-01,Pending
102,885,2026-02-24,Cancelled
103,184,2025-01-10,Delivered
104,394,2025-12-02,Pending
105,888,2025-09-30,Cancelled
106,650,2025-05-31,Delivered
107,865,2024-10-12,Delivered
108,317,2025-08-30,Returned
109,742,2024-11-19,Cancelled
110,544,2025-03-05,Returned
111,322,2025-06-17,Pending
112,689,2026-04-24,Pending
113,468,2026-04-19,Returned
114,152,2025-06-18,Pending
115,334,2026-01-16,Pending
116,302,2026-05-15,Delivered
117,37,2025-12-12,Cancelled
118,830,2024-12-27,Cancelled
119,294,2025-06-14,Cancelled
120,905,2026-01-08,Delivered
121,841,2025-08-08,Cancelled
122,579,2025-08-10,Delivered
123,355,2025-02-25,Delivered
124,527,2024-12-06,Cancelled
125,848,2025-08-14,Pending
126,54,2025-08-21,Returned
127,884,2026-07-10,Delivered
128,77,2026-05-13,Pending
129,91,2026-04-21,Pending
130,676,2026-07-08,Returned
131,942,2025-07-23,Cancelled
132,654,2026-05-08,Returned
133,369,2024-08-06,Delivered
134,577,2026-02-15,Pending
135,969,2025-12-06,Returned
136,800,2025-10-19,Returned
137,868,2025-10-09,Pending
138,477,2024-11-15,Delivered
139,301,2024-07-28,Pending
140,403,2026-03-31,Delivered
141,453,2024-11-24,Pending
142,384,2026-03-31,Cancelled
143,496,2026-01-19,Returned
144,783,2025-09-14,Cancelled
145,355,2025-02-02,Cancelled
146,339,2026-01-24,Cancelled
147,667,2025-07-31,Returned
148,859,2024-09-22,Pending
149,250,2025-07-11,Pending
150,674,2024-07-16,Pending
151,509,2025-12-19,Pending
152,984,2026-01-05,Delivered
153,449,2025-05-20,Cancelled
154,183,2026-05-09,Cancelled
155,721,2026-02-11,Delivered
156,783,2026-05-28,Cancelled
157,617,2025-02-10,Cancelled
158,472,2025-01-25,Pending
159,698,2024-07-16,Delivered
160,401,2024-11-25,Delivered
161,766,2025-07-26,Delivered
162,864,2025-10-04,Cancelled
163,555,2026-06-14,Cancelled
164,673,2026-03-28,Delivered
165,586,2025-12-04,Pending
166,793,2026-05-14,Delivered
167,920,2025-10-01,Delivered
168,689,2025-08-02,Pending
169,67,2025-01-21,Delivered
170,940,2025-05-05,Delivered
171,737,2024-07-18,Returned
172,362,2025-09-07,Returned
173,558,2025-10-22,Pending
174,122,2025-03-03,Pending
175,235,2025-12-19,Returned
176,375,2024-11-03,Pending
177,636,2025-08-06,Cancelled
178,236,2026-04-09,Returned
179,780,2024-12-29,Returned
180,804,2026-02-08,Returned
181,598,2024-07-31,Delivered
182,578,2024-08-06,Delivered
183,777,2026-02-19,Delivered
184,852,2025-03-09,Pending
185,278,2025-01-12,Pending
186,405,2026-02-27,Pending
187,489,2026-02-04,Cancelled
188,917,2025-06-13,Cancelled
189,622,2025-03-23,Pending
190,484,2025-02-11,Pending
191,716,2026-03-08,Delivered
192,361,2025-08-21,Returned
