Month,Revenue
2024-07,9060900.0
2024-08,10392600.0
2024-09,11739700.0
2024-10,10291400.0
2024-11,13144700.0
2024-12,12476200.0
2025-01,12587600.0
2025-02,9709373.16
2025-03,12518200.0
2025-04,10036200.0
2025-05,13034000.0
2025-06,10112400.0
2025-07,11930000.0
2025-08,10185400.0
2025-09,9146500.0
2025-10,12928800.0
2025-11,11324800.0
2025-12,11397100.0
2026-01,11892000.0
2026-02,10919900.0
2026-03,14561400.0
2026-04,12392100.0
2026-05,9488300.0
2026-06,11248800.0
2026-07,3950100.0
